algorytm,reprezentacja,rozmiar,gestosc,sredni_czas(ms)
Prim,Matrix,400,0.25,18.2842
Prim,List,400,0.25,2.00422
Kruskal,Matrix,400,0.25,1.94524
Kruskal,List,400,0.25,2.4687
Dijkstra,Matrix,400,0.25,31.9922
Dijkstra,List,400,0.25,1.87178
BellmanFord,Matrix,400,0.25,51.0941
BellmanFord,List,400,0.25,51.1216
Prim,Matrix,400,0.5,36.0523
Prim,List,400,0.5,4.171
Kruskal,Matrix,400,0.5,3.85362
Kruskal,List,400,0.5,5.4421
Dijkstra,Matrix,400,0.5,64.7441
Dijkstra,List,400,0.5,4.37734
BellmanFord,Matrix,400,0.5,100.436
BellmanFord,List,400,0.5,104.496
Prim,Matrix,400,0.99,76.5922
Prim,List,400,0.99,10.9353
Kruskal,Matrix,400,0.99,8.15062
Kruskal,List,400,0.99,14.285
Dijkstra,Matrix,400,0.99,140.866
Dijkstra,List,400,0.99,11.0637
BellmanFord,Matrix,400,0.99,205.452
BellmanFord,List,400,0.99,212.693
Prim,Matrix,500,0.25,35.2441
Prim,List,500,0.25,3.88958
Kruskal,Matrix,500,0.25,3.01124
Kruskal,List,500,0.25,4.19374
Dijkstra,Matrix,500,0.25,65.7489
Dijkstra,List,500,0.25,3.67992
BellmanFord,Matrix,500,0.25,98.5743
BellmanFord,List,500,0.25,100.664
Prim,Matrix,500,0.5,70.9812
Prim,List,500,0.5,7.51392
Kruskal,Matrix,500,0.5,6.06938
Kruskal,List,500,0.5,9.48636
Dijkstra,Matrix,500,0.5,129.735
Dijkstra,List,500,0.5,8.4102
BellmanFord,Matrix,500,0.5,196.031
BellmanFord,List,500,0.5,201.8
Prim,Matrix,500,0.99,146.42
Prim,List,500,0.99,18.0904
Kruskal,Matrix,500,0.99,13.0523
Kruskal,List,500,0.99,25.9657
Dijkstra,Matrix,500,0.99,262.255
Dijkstra,List,500,0.99,18.9094
BellmanFord,Matrix,500,0.99,390.29
BellmanFord,List,500,0.99,402.905
Prim,Matrix,600,0.25,61.9483
Prim,List,600,0.25,5.38104
Kruskal,Matrix,600,0.25,4.4664
Kruskal,List,600,0.25,6.41106
Dijkstra,Matrix,600,0.25,112.341
Dijkstra,List,600,0.25,5.86342
BellmanFord,Matrix,600,0.25,170.93
BellmanFord,List,600,0.25,174.475
Prim,Matrix,600,0.5,123.752
Prim,List,600,0.5,11.689
Kruskal,Matrix,600,0.5,9.16916
Kruskal,List,600,0.5,17.0689
Dijkstra,Matrix,600,0.5,225.582
Dijkstra,List,600,0.5,12.6174
BellmanFord,Matrix,600,0.5,339.949
BellmanFord,List,600,0.5,348.275
Prim,Matrix,600,0.99,259.344
Prim,List,600,0.99,31.8247
Kruskal,Matrix,600,0.99,18.752
Kruskal,List,600,0.99,42.5581
Dijkstra,Matrix,600,0.99,451.379
Dijkstra,List,600,0.99,31.2451
BellmanFord,Matrix,600,0.99,679.175
BellmanFord,List,600,0.99,696.1
Prim,Matrix,700,0.25,100.847
Prim,List,700,0.25,7.9535
Kruskal,Matrix,700,0.25,6.1855
Kruskal,List,700,0.25,10.7065
Dijkstra,Matrix,700,0.25,183.491
Dijkstra,List,700,0.25,9.62152
BellmanFord,Matrix,700,0.25,274.14
BellmanFord,List,700,0.25,279.3
Prim,Matrix,700,0.5,204.034
Prim,List,700,0.5,20.0686
Kruskal,Matrix,700,0.5,12.8217
Kruskal,List,700,0.5,27.3776
Dijkstra,Matrix,700,0.5,360.406
Dijkstra,List,700,0.5,20.681
BellmanFord,Matrix,700,0.5,545.589
BellmanFord,List,700,0.5,556.953
Prim,Matrix,700,0.99,413.136
Prim,List,700,0.99,47.5648
Kruskal,Matrix,700,0.99,26.7211
Kruskal,List,700,0.99,65.7293
Dijkstra,Matrix,700,0.99,723.147
Dijkstra,List,700,0.99,45.5472
BellmanFord,Matrix,700,0.99,1105.09
BellmanFord,List,700,0.99,1124.6
Prim,Matrix,800,0.25,158.92
Prim,List,800,0.25,11.1232
Kruskal,Matrix,800,0.25,8.32276
Kruskal,List,800,0.25,14.8955
Dijkstra,Matrix,800,0.25,273.466
Dijkstra,List,800,0.25,12.3345
BellmanFord,Matrix,800,0.25,411.772
BellmanFord,List,800,0.25,420.396
Prim,Matrix,800,0.5,306.95
Prim,List,800,0.5,28.2383
Kruskal,Matrix,800,0.5,17.4095
Kruskal,List,800,0.5,37.975
Dijkstra,Matrix,800,0.5,540.83
Dijkstra,List,800,0.5,28.0597
BellmanFord,Matrix,800,0.5,837.949
BellmanFord,List,800,0.5,852.475
Prim,Matrix,800,0.99,605.699
Prim,List,800,0.99,61.8117
Kruskal,Matrix,800,0.99,34.7368
Kruskal,List,800,0.99,80.9699
Dijkstra,Matrix,800,0.99,1055.04
Dijkstra,List,800,0.99,61.4689
BellmanFord,Matrix,800,0.99,1638.24
BellmanFord,List,800,0.99,1668.79
Prim,Matrix,900,0.25,213.559
Prim,List,900,0.25,17.4507
Kruskal,Matrix,900,0.25,10.7353
Kruskal,List,900,0.25,23.0282
Dijkstra,Matrix,900,0.25,380.567
Dijkstra,List,900,0.25,17.5713
BellmanFord,Matrix,900,0.25,575.618
BellmanFord,List,900,0.25,585.56
Prim,Matrix,900,0.5,398.841
Prim,List,900,0.5,26.451
Kruskal,Matrix,900,0.5,21.1956
Kruskal,List,900,0.5,33.648
Dijkstra,Matrix,900,0.5,713.754
Dijkstra,List,900,0.5,27.6693
BellmanFord,Matrix,900,0.5,1137.88
BellmanFord,List,900,0.5,1153.15
Prim,Matrix,900,0.99,791.767
Prim,List,900,0.99,61.2272
Kruskal,Matrix,900,0.99,43.2205
Kruskal,List,900,0.99,83.9252
Dijkstra,Matrix,900,0.99,1421.43
Dijkstra,List,900,0.99,59.7839
BellmanFord,Matrix,900,0.99,2269.51
BellmanFord,List,900,0.99,2301.08
Prim,Matrix,1000,0.25,269.294
Prim,List,1000,0.25,16.6443
Kruskal,Matrix,1000,0.25,12.9142
Kruskal,List,1000,0.25,17.9655
Dijkstra,Matrix,1000,0.25,486.886
Dijkstra,List,1000,0.25,15
BellmanFord,Matrix,1000,0.25,764.939
BellmanFord,List,1000,0.25,773.924
Prim,Matrix,1000,0.5,533.837
Prim,List,1000,0.5,29.5519
Kruskal,Matrix,1000,0.5,26.301
Kruskal,List,1000,0.5,39.1415
Dijkstra,Matrix,1000,0.5,965.162
Dijkstra,List,1000,0.5,31.7405
BellmanFord,Matrix,1000,0.5,1553.24
BellmanFord,List,1000,0.5,1568.01
Prim,Matrix,1000,0.99,1051.97
Prim,List,1000,0.99,68.284
Kruskal,Matrix,1000,0.99,53.3151
Kruskal,List,1000,0.99,97.9059
Dijkstra,Matrix,1000,0.99,1911.31
Dijkstra,List,1000,0.99,68.6799
BellmanFord,Matrix,1000,0.99,3076.04
BellmanFord,List,1000,0.99,3117.65
